denoise_psnr_bm3d	denoise_ssim_bm3d
32.77160097598791	0.9570322370219659
28.96579862291751	0.908437463745408
27.031648977249493	0.8683694922265366
25.557981170104647	0.827787719770245
33.77156636541956	0.9645681952217987
30.069822603772632	0.9275869248578431
28.268334603487574	0.9021027170640857
26.613450859916476	0.8706112936788826
34.73725603364335	0.9724050185681841
30.930817017779493	0.9426335260724888
28.87369528684126	0.9137397893352516
27.21489187882638	0.8786508564856325
36.55446839810584	0.9830410088929752
32.6208372547086	0.9642868500664169
30.321507509676927	0.9448711158985033
27.75141872605207	0.9090929686233592
34.02537551200373	0.9698285793893194
30.42153695977688	0.9366064002677607
28.452698516558268	0.9046317541060499
26.902184917731837	0.8686221410691882
36.51730268903339	0.9692353243226955
33.473103093645406	0.9467826311190373
31.7178902241929	0.9303823926573124
30.081273104891245	0.9097029196822536
30.181957240475207	0.9757011888968856
26.20160074250426	0.9368983192193479
24.239438818426173	0.8981018573364713
22.986867842492916	0.8634575055290944
32.348002045052056	0.9491263054523429
28.6930663990413	0.8929692410497134
26.904071204352494	0.8504887706996374
25.500613502653856	0.8075399091904992
32.904750931574355	0.9497233214653948
29.554114337226046	0.8991192370014301
27.7930597843297	0.8580102584170931
26.492081859976217	0.8187623868071653
32.907000082404494	0.9599458153049918
29.060801816467226	0.9139313592378892
27.0324267977351	0.8698712469061757
25.55610787795295	0.8267185952811809
34.30741464259444	0.9669700226913666
30.878933996304067	0.9405695655106576
28.938053738096798	0.9161869013300209
27.12998114301198	0.8810782294979967